Jan-17,"Farringdon Lane, Clerkenwell",16,10,10,20
Jan-17,"Fashion Street, Whitechapel",30,5,2,7
Jan-17,"Fawcett Close, Battersea",36,0,3,3
Jan-17,"Felsham Road, Putney",18,1,1,2
Jan-17,"Finlay Street, Fulham",18,1,2,3
Jan-17,"Finnis Street, Bethnal Green",29,0,12,12
Jan-17,"Finsbury Circus, Liverpool Street",32,52,9,61
Jan-17,"Finsbury Leisure Centre, St. Luke's",20,9,4,13
Jan-17,"Finsbury Library, Finsbury",29,1,4,5
Jan-17,"Finsbury Square, Moorgate",33,21,0,21
Jan-17,"Fire Brigade Pier, Vauxhall",30,7,24,31
Jan-17,"Fishermans Walk West, Canary Wharf",36,3,0,3
Jan-17,"Flamborough Street, Limehouse",25,2,7,9
Jan-17,"Flood Street, Chelsea",18,11,2,13
Jan-17,"Ford Road, Old Ford",18,1,6,7
Jan-17,"Fore Street, Guildhall",19,25,7,32
Jan-17,"Fournier Street, Whitechapel",18,11,1,12
Jan-17,"Frampton Street, Paddington",32,0,11,11
Jan-17,"Freston Road, Avondale",23,2,0,2
Jan-17,"Frith Street, Soho",18,20,1,21
Jan-17,"Fulham Broadway, Walham Green",26,2,4,6
Jan-17,"Fulham Park Road, Fulham",27,1,2,3
Jan-17,"Furze Green, Bow",36,0,4,4
Jan-17,"Garnet Street, Shadwell",24,7,14,21
Jan-17,"Gaywood Street, Elephant & Castle",45,1,5,6
Jan-17,"George Place Mews, Marylebone",16,3,6,9
Jan-17,"George Street, Marylebone",26,6,1,7
Jan-17,"Geraldine Street, Elephant & Castle",17,2,3,5
Jan-17,"Globe Town Market, Bethnal Green",20,0,10,10
Jan-17,"Gloucester Avenue, Camden Town",24,4,13,17
Jan-17,"Gloucester Road (Central), South Kensington",19,2,3,5
Jan-17,"Gloucester Road (North), Kensington",16,7,7,14
Jan-17,"Gloucester Road Station, South Kensington",15,6,1,7
Jan-17,"Gloucester Street, Pimlico",25,2,16,18
Jan-17,"Gloucester Terrace, Bayswater",23,1,11,12
Jan-17,"Godliman Street, St. Paul's",25,59,32,91
Jan-17,"Golden Lane, Barbican",27,13,6,19
Jan-17,"Golden Square, Soho",18,15,2,17
Jan-17,"Goldsmiths Row, Haggerston",27,1,12,13
Jan-17,"Good's Way, King's Cross",27,8,5,13
Jan-17,"Goswell Road (City Uni), Finsbury",17,2,13,15
